Π中間子 	パイちゅうかんし	 pion (physics)
あたえぬし 	与え主	 giver
あたえる 	与える	 to give, to present, to award
あたかも 	恰も	 as if, as it were
あたかもよし 	恰も好し	 luckily, fortunately
あたたかい 	温かい	 warm, mild, genial atatakai 2  
あたたかいひと 	暖かい人	 warmhearted person
あたたかさ 	暖かさ	 warmth
あたたまる 	温まる	 to warm oneself, to sun oneself, to warm up, to get warm atatamaru 2  
あたためる 	温める	 to warm, to heat atatameru 2  
あたま 	頭	 head
あたまうち 	頭打ち	 reaching a peak, reaching the limit
あたまかくしてしりかくさず 	頭隠して尻隠さず	 don't cover your head and leave your bottom exposed, you have to be careful not to expose your weak point while attempting to protect yourself (id)
あたまかず 	頭数	 number of persons, numerical strength
あたまかぶ 	頭株	 chief, leader
あたまがおかしい 	頭がおかしい	 insane
あたまきん 	頭金	 down payment, deposit
あたましらみ 	頭虱	 head louse, head lice
あたまにくる 	頭に来る	 to get mad, to get pissed off, to get angry
あたまわり 	頭割り	 sharing, capitation
あたまをいためる 	頭を痛める	 to be concerned about
あたまをなやます 	頭を悩ます	 to rack one's brains
あたまをひやす 	頭を冷やす	 to cool down one's anger
あたら 	可惜	 alas, regrettably
あたらしい 	新しい	 new
あたらしがりや 	新しがり屋	 one who loves novelty, one who goes after all the latest fads
あたりちらす 	当たり散らす	 to find fault with everybody, to make oneself disagreeable
あたりまえ 	当たり前	 usual (an) (a-no), common, ordinary, natural, reasonable, obvious
あたる 	当たる	 to be hit
あたん 	亜炭	 lignite, brown coal
あだ 	仇	 foe, enemy, revenge, enmity, grudge, feud, harm, evil, ruin, invasion
あだうち 	仇討ち	 vengeance, retaliation
あだしごころ 	徒し心	 fickle heart
あだな 	渾名	 nickname adana 2  
あだびと 	他人	 another person, unrelated person, outsider, stranger
あっか 	悪化	 (suffer) deterioration (vs), growing worse, aggravation, degeneration, corruption akka 2  
あっかく 	圧覚	 sense of pressure
あっかん 	悪感	 ill or unhappy feeling akkan 2  
あっかんか 	悪感化	 evil influence
あっかんじょう 	悪感情	 ill feeling, ill will, animosity, bad impression
あっき 	悪鬼	 evil spirit, demon, devil
あっきゅう 	ゅu 悪球	 hard ball to hit, bad pitch
あっけ 	呆気	 taken aback, dumbfounded
あっけい 	悪計	 plot, trick, evil scheme
あっけない 	呆気ない	 not enough, too quick (short, long, etc.)
あっこう 	悪口	 abuse, insult, slander, evil speaking akkou 2  
あっこうぞうごん 	悪口雑言	 all kinds of malicious gossip
あっこん 	圧痕	 impression
あっさい 	圧砕	 crushing
あっさいき 	圧砕機	 grinder, crusher
あっさく 	圧搾	 pressure, compression
あっさくき 	圧搾器	 compression, press
あっさくくうき 	圧搾空気	 compressed air
あっさつ 	圧殺	 crushing to death (vs)
あっし 	圧死	 crushing to death (vs)
あっしゅく 	ゅku 圧縮	 compression (vs), condensation, pressure asshu 2  
あっしょう 	ょu 圧勝	 complete victory
あっしん 	圧神	 pressure sensation
あっする 	圧する	 to press, to oppress, to dominate, to overwhelm
あっせい 	圧制	 oppression, tyranny, despotism assei 2  
あっせいしゃ 	圧制者	 oppressor, tyrant
あっせいてき 	圧制的	 oppressive, despotic
あっせつ 	圧接	 pressure welding
あっせん 	斡旋	 kind offices, mediation
あっせんりょう 	斡旋料	 agent's charge
あったら 	可惜	 alas, regrettably
あっちゃく 	圧着	 crimp
あっちゃくたんし 	圧着端子	 crimp contact
あっつうてん 	圧痛点	 pressure point
あっというまに 	あっと言う間に	 "just like that", "in the twinkling of an eye", "in the blink of an eye" (lit: in the time it takes to say Ah!)
あっとう 	圧倒	 overwhelm (vs), overpower, overwhelming
あっとうてき 	圧倒的	 overwhelming (an)
あっとうてきたすう 	圧倒的多数	 overwhelming numbers
あっと言う間に 	あっというまに	 "just like that", "in the twinkling of an eye", "in the blink of an eye" (lit: in the time it takes to say Ah!)
あっぱい 	圧排	 exclusion
あっぱく 	圧迫	 pressure (vs), coercion, oppression
あっぱくかん 	圧迫感	 feeling of oppression
あっぱくせい 	圧迫性	 compression
あっぱれ 	天晴れ	 splendid, praiseworthy, well done!, admirable
あっぷく 	圧伏	 overpower (vs), subdue appuku 2  
あつ 	斡	 go around, rule, administer
あつあげ 	厚揚げ	 thick fried tofu
あつあつ 	熱々	 piping hot, passionately in love atsuatsu 2  
あつい 	厚い	 cordial, kind, warm(hearted), thick, deep atsui 2  
あついた 	厚板	 plank, thick board, plate glass, heavy metal sheet (esp. welding), heavy brocaded obi
あついもてなし 	篤い持てなし	 cordial reception
あついゆうじょう 	篤い友情	 warm friendship
あつうす 	厚臼	 stone hand mill
あつえん 	圧延	 rolling
あつえんき 	圧延機	 rolling machine
あつえんこう 	圧延鋼	 rolled steel
あつえんこうじょう 	圧延工場	 rolling mill
あつかい 	扱い	 treatment (vs), service
あつかう 	扱う	 to handle, to deal with, to treat
あつかましい 	厚かましい	 impudent, shameless, brazen
あつかわ 	厚皮	 thick hide, shamelessness
あつかん 	熱燗	 hot sake
あつがみ 	厚紙	 cardboard, thick paper
あつがり 	暑がり	 (person) sensitive to heat
あつぎ 	厚着	 wearing thick clothes
あつぎり 	厚切り	 thick slice
あつくるしい 	暑苦しい	 sultry, sweltering
あつげしょう 	厚化粧	 thick or heavy make-up
あつさ 	厚さ	 thickness atsusa 2  
あつじ 	厚地	 thick cloth
あつで 	厚手	 thick (paper, etc.) (a-no)
あつでんき 	圧電気	 piezoelectricity
あつでんこうか 	圧電効果	 piezoelectric effect
あつにゅう 	圧入	 indentation
あつぼったい 	厚ぼったい	 very thick, heavy
あつまる 	集まる	 to gather (vi), to collect, to assemble
あつみ 	温海	 warm sea atsumi 2  
あつめる 	集める	 to collect (vt), to collect, to assemble
あつらえる 	誂える	 (uk) to give an order, to place an order
あつりょく 	圧力	 stress, pressure
あつりょくけい 	圧力計	 manometer, pressure gauge
あつりょくだんたい 	圧力団体	 pressure group, lobby
あつりょくちょうせいき 	圧力調整器	 pressure regulator
あつりょくなべ 	圧力鍋	 pressure cooker
あつりょくは 	圧力波	 pressure wave
あつれき 	軋轢	 friction, discord, strife
あつろき 	圧濾器	 filter press atsuroki 2  
あて 	宛	 addressed to (suf) ate 2  
あてがう 	宛てがう	 to allot, to fasten to, to supply with
あてこする 	当て擦る	 to insinuate, to satyrize, to take a dig at
あてこむ 	当て込む	 to count on
あてさき 	宛て先	 address, destination atesaki 2  
あてじ 	当て字	 phonetic-equivalent character, substitute character
あてっこ 	当てっこ	 guessing
あてつける 	当てつける	 to insinuate atetsukeru 2  
あてな 	宛て名	 address, direction atena 2  
あてにげ 	当て逃げ	 hit-and-run accident causing property damage
あてのない 	当てのない	 aimless
あてはまる 	当てはまる	 to apply (a rule) atehamaru 2  
あてはめる 	当てはめる	 to apply (vt), to adapt atehameru 2  
あてみ 	当て見	 strike, blow
あてもの 	当て物	 guessing, covering
あてる 	宛てる	 to address ateru 2  
あですがた 	艶姿	 charming figure
あでやか 	艶やか	 bewitching (uk)(an), fascinatingly elegant
あとあし 	後足	 hind leg
あとあじ 	後味	 aftertaste
あとあと 	後々	 distant future atoato 2  
あとあとに 	後々に	 made later atoatoni 2  
あとおい 	後追い	 following someone
あとおいじさつ 	後追い自殺	 following someone's example, and committing suicide (vs)
あとおし 	後押し	 pushing, backing, boosting
あとかたづけ 	後片付け	 tidying up, cleaning
あとからあとから 	後から後から	 one after another, in rapid succession
あとがき 	後書き	 afterword, postscript
あとがま 	後釜	 successor, replacement, second wife
あときん 	後金	 rest of the payment
あとさき 	後先	 front and rear, before and after, both ends, beginning and end, order, consequences, context
あとさく 	後作	 second crop
あとざん 	後産	 placenta, afterbirth, secundina
あとしまつ 	後始末	 settlement (of affairs)
あとつぎ 	跡継ぎ	 heir, successor
あとで 	後で	 afterwards
あととり 	跡取り	 heir, heiress, inheritor, successor
あとのほう 	後の方	 later (a-no)
あとのまつり 	後の祭り	 Too Late!
あとばらい 	後払い	 deferred payment
あとへひく 	後へ引く	 to retreat, to recede atohehiku 2  
あとまわし 	後回し	 to put off, to postpone
あとめ 	跡目	 headship of a family, family property
あともどり 	後戻り	 backtrack (vs)
あなあけき 	穴開け器	 (hole) punch, stiletto
あなうめ 	穴埋め	 filling in gaps, filling in blanks (in a form, etc)
あなぐま 	穴熊	 badger
あなぐら 	穴蔵	 cellar
あなご 	穴子	 conger eel
あなずる 	侮る	 to despise, to disdain, to make light of
あなた 	貴女	 you (fem pronoun) (oK) anata 2  
あなたがた 	貴方々	 you (plural) anatagata 2  
あなだらけにする 	穴だらけにする	 to fuck (col) (X)
あなどり 	侮り	 contempt, scorn
あなどる 	侮る	 to despise, to disdain, to make light of
あなば 	穴場	 little-known good place
あなぼこ 	穴凹	 hole, hollow
あにき 	兄貴	 one's senior, elder brother
あにご 	兄後	 elder brother (hum)
あにでし 	兄弟子	 senior schoolmate, senior apprentice
あによめ 	兄嫁	 elder brother's wife aniyome 2  
あね 	姐	 maidservant, elder sister ane 2  
あねうえ 	姉上	 older sister
あねき 	姉貴	 elder sister
あねご 	姉御	 elder sister (hum)
あねったい 	亜熱帯	 subtropics
あねつ 	悪熱	 fever following a chill
あのかた 	あの方	 that gentleman (lady), he, she
あのひと 	あの人	 he, she, that person
あの人 	あのひと	 he, she, that person
あの方 	あのかた	 that gentleman (lady), he, she
あばきだす 	暴き出す	 to dig up and expose a criminal matter
あばく 	暴く	 to disclose, to divulge, to expose
あばたずら 	痘痕面	 pockmarked face
あばら 	肋	 rib, rib cage
あばらぼね 	肋骨	 rib, frame (of a ship)
あばれうま 	暴れ馬	 restive horse, runaway
あばれくるう 	暴れ狂う	 to rage, to run amuck, to tear around
あばれこむ 	暴れ込む	 to enter someone's territory by force
あばれだす 	暴れ出す	 to grow restive, to begin to act violently
あばれまわる 	暴れ回る	 to rampage, to run riot
あばれもの 	暴れ者	 roughneck
あばれる 	暴れる	 to act violently, to rage, to struggle, to be riotous
あひさん 	亜砒酸	 arsenious acid
あひる 	家鴨	 domestic duck
あびきょうかん 	阿鼻叫喚	 agonizing cries, a pandemonium, two of Buddhism's hells
あびせる 	浴びせる	 to pour on
あびる 	浴びる	 to bathe, to bask in the sun, to shower
あふれ 	溢れ	 overflow
あふれでる 	溢れ出る	 to overflow from something full
あふれる 	溢れる	 to flood, to overflow, to brim over
あぶ 	虻	 horsefly
あぶない 	危ない	 dangerous, critical, grave, uncertain, unreliable, limping, narrow, close, watch out!
あぶなえ 	危絵	 suggestive or indecent picture
あぶながる 	危ながる	 to be afraid of, to feel uneasy about, to shrink from
あぶなげ 	危な気	 possibility of danger abunage 2  
あぶなっかしい 	危なっかしい	 dangerous, critical, grave, uncertain, unreliable, limping, narrow, close, watch out
あぶら 	脂	 fat, tallow, lard abura 2  
あぶらあげ 	油揚げ	 fried tofu
あぶらあせ 	油汗	 cold sweat
あぶらえ 	油絵	 oil painting
あぶらがのる 	脂が乗る	 to be in good table quality, to get into the swing of (as one's work)
あぶらけ 	油気	 greasiness, oiliness
あぶらしょう 	脂性	 fatty constitution
あぶらじみる 	脂染みる	 to become greasy, to be oil-stained aburajimiru 2  
あぶらぜみ 	油蝉	 large brown cicada
あぶらっこい 	脂っこい	 fatty aburakkoi 2  
あぶらな 	油菜	 rape
あぶらみ 	脂身	 fat meat
あぶらむし 	油虫	 cockroach, hanger-on, parasite
あぶらをうる 	油を売る	 to loaf (particularly on the job) (id)
あぶらをしぼる 	油を絞る	 to chew out (id), to reprimand severely, to rake over the coals
あぶりだし 	炙り出し	 invisible writing revealed by applying heat (a-no), writing done in invisible ink
あぶりだす 	炙り出す	 to reveal invisible writing by applying heat
あぶる 	炙る	 (uk) to scorch
あへん 	阿片	 opium ahen 2  
あへんくつ 	阿片窟	 opium den
あべかわもち 	安倍川餅	 (uk) rice cakes (mochi) with Kinako
あほうどり 	信天翁	 albatross
あまあし 	雨脚	 passing shower amaashi 2  
あまい 	甘い	 (uk) generous, indulgent, easy-going, sweet, fond of, soft on, overly optimistic (id), naive
あまいしょうせつ 	甘い小説	 sentimental novel
あまいと 	亜麻糸	 flax yarn
あまえ 	甘え	 depending on other's kindness
あまえっこ 	甘えっ子	 spoilt child
あまえる 	甘える	 to behave like a spoiled child, to fawn on
あまおりもの 	亜麻織物	 flax fabrics, linen
あまがえる 	雨蛙	 tree frog
あまがさ 	雨がさ	 umbrella amagasa 2  
あまがした 	天が下	 the whole country, the public, the world, the ruling power, having one's own way
あまがっぱ 	雨合羽	 raincoat, oilcoat
あまぎ 	雨着	 raincoat
あまくだり 	天下り	 outsider taking senior post amakudari 2  
あまくだる 	天下る	 to descend from heaven amakudaru 2  
あまくち 	甘口	 sweet flavour, mildness, flattery, stupidity
あまくみる 	甘く見る	 to not take seriously(id), to take lightly
あまぐ 	雨具	 rain gear
あまぐつ 	雨靴	 overshoes
あまぐも 	雨雲	 rain cloud amagumo 2  
あまぐもり 	雨曇	 overcast weather amagumori 2  
あまぐり 	甘栗	 broiled sweet chestnuts
あまけ 	雨気	 signs of rain, threatening to rain
あまごい 	雨乞い	 praying for rain
あまざけ 	甘酒	 sweet half sake
