嗚呼	ああ	Ah!, Oh!, Alas!		[sound:SPXJ00001.mp3]
隠居	いんきょ	retirement, retired person	【名】  【自サ】  隐居; 退休; 闲居; 放弃户主权; 把官位及俸禄让给子孙; 年长的父亲; 老人	[sound:SPXJ05385.mp3]
上下	うえした	high and low, up and down, unloading and loading, praising and blaming	【名】  【自サ】  上和下; 上下移动; 来回; 身份贵贱; 物价的涨落; 衣服的上下身	[sound:SPXJ14570.mp3]
浮かぶ	うかぶ	to float, to rise to surface, to come to mind	【自五】  漂; 浮; 浮出; 浮现; 想起; 超度; 摆脱困境	[sound:SPXJ05772.mp3]
受かる	うかる	to pass (examination)	【自五】  考中; 及格	[sound:SPXJ05774.mp3]
含嗽	うがい	gargle, rinse mouth		[sound:SPXJ05755.mp3]
受け入れ	うけいれ	receiving, acceptance	【名】  接纳; 收容; 承认; 答应	[sound:SPXJ05852.mp3]
受け入れる	うけいれる	to accept, to receive	【他下一】  收进; 接纳; 收容; 采纳; 同意	[sound:SPXJ05853.mp3]
受け継ぐ	うけつぐ	to inherit, to succeed, to take over	【他五】  继承	[sound:SPXJ05882.mp3]
受け付ける	うけつける	to be accepted, to receive (an application)	【他下一】  受理; 接受; 容纳	[sound:SPXJ05887.mp3]
受け止める	うけとめる	to catch, to stop the blow, to react to, to take	【他下一】  接住; 挡住; 阻止; 防止; 理解; 认识	[sound:SPXJ05890.mp3]
受け取り	うけとり	receipt	【名】  收; 领; 收据; 收条	
受身	うけみ	passive, passive voice		
動き	うごき	movement, activity, trend, development, change	【名】  活动; 动向; 变化; 更动; 调动	[sound:SPXJ05926.mp3]
潮	うしお	tide	【名】  海潮; 海水; 时机	[sound:SPXJ30222.mp3]
氏	うじ	family name	【名】  姓氏; 氏族; 门第; 家世; 接在姓的后面表示尊称	[sound:SPXJ30045.mp3]
渦	うず	swirl	【名】  漩涡; 混乱状态; 旋转; 波动	[sound:SPXJ06012.mp3]
埋まる	うずまる	to be buried, to be surrounded, to overflow, to be filled	【自五】  埋上; 挤满	[sound:SPXJ06665.mp3]
嘘つき	うそつき	liar (sometimes said with not much seriousness), fibber		
打ち合わせ	うちあわせ	business meeting, previous arrangement, appointment	【名】  事先; 商量; 碰头	[sound:SPXJ06224.mp3]
打ち合わせる	うちあわせる	to knock together, to arrange	【他下一】  使...相碰; 互相打击; 商量; 碰头	[sound:SPXJ06226.mp3]
打ち切る	うちきる	to stop, to abort, to discontinue, to close	【他五】  砍; 切; 截止; 结束; 下完(一盘棋)	[sound:SPXJ06263.mp3]
打ち消し	うちけし	negation, denial, negative	【名】  消除; 否认; 否定	[sound:SPXJ06277.mp3]
打ち込む	うちこむ	to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int	【他五】  打进; 射进; 猛掷; 浇灌(混凝土)  【自五】  热衷; 迷恋	[sound:SPXJ06286.mp3]
団扇	うちわ	fan	【名】  团扇; 裁判扇(同ぐんばいうちわ)	[sound:SPXJ06411.mp3]
内訳	うちわけ	the items, breakdown, classification	【名】  细目; 详细内容	[sound:SPXJ06414.mp3]
訴え	うったえ	lawsuit, complaint	【名】  诉讼; 控告; 申诉	[sound:SPXJ06451.mp3]
鬱陶しい	うっとうしい	gloomy, depressing		
写し	うつし	copy, duplicate, facsimile, transcript	【名】  拍照; 抄本; 仿制品	[sound:SPXJ06435.mp3]
空ろ	うつろ	blank, cavity, hollow, empty (space)	【名】  【形動】  空洞; 空虚; 发呆	[sound:SPXJ06509.mp3]
器	うつわ	bowl, vessel, container	【名】  容器; 器具; 人才	[sound:SPXJ06510.mp3]
雨天	うてん	rainy weather	【名】  雨天	[sound:SPXJ06545.mp3]
腕前	うでまえ	ability, skill, facility	【名】  能力; 本事	[sound:SPXJ06540.mp3]
饂飩	うどん	noodles (Japanese)		[sound:SPXJ06555.mp3]
促す	うながす	to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)	【他五】  催促; 促使	[sound:SPXJ06561.mp3]
唸る	うなる	to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough		[sound:SPXJ06583.mp3]
自惚れ	うぬぼれ	pretension, conceit, hubris	【名】  骄傲; 自满	[sound:SPXJ06585.mp3]
甘い	うまい	delicious	【形】  甜的; 甜蜜的; 口味淡的; 宽的; 姑息的; 藐视的; 小看的; 乐观的; 天真的; 肤浅的; 浅薄的; 好听的; 巧妙的; 松的; 弱的; 钝的; 软的; 没价值的; 无聊的	[sound:SPXJ06634.mp3]
生まれつき	うまれつき	by nature, by birth, native		[sound:SPXJ06676.mp3]
海路	うみじ	sea route	【名】  海路	[sound:SPXJ11747.mp3]
産む	うむ	to give birth, to deliver, to produce	【他五】  生; 产; 产生	[sound:SPXJ06725.mp3]
埋め込む	うめこむ	to bury		[sound:SPXJ06738.mp3]
梅干	うめぼし	dried plum		
末	うら	top end, tip	【接】  末; 底	[sound:SPXJ37997.mp3]
裏返し	うらがえし	inside out, upside down	【名】  表里相反; 翻过来	[sound:SPXJ06786.mp3]
売り出し	うりだし	(bargain) sale	【名】  开始出售; 贱卖; 出名; 初露头角	[sound:SPXJ06927.mp3]
売り出す	うりだす	to put on sale, to market, to become popular	【他五】  出售; 上市; 大贱卖; 出名; 初露头角	[sound:SPXJ06928.mp3]
潤う	うるおう	to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t	【自五】  润; 湿; 宽绰起来; 受惠	[sound:SPXJ06964.mp3]
五月蝿い	うるさい	noisy, loud, fussy	【名】  讨厌的; 烦人的; 爱唠叨的; 吵得慌的	
売れ行き	うれゆき	sales	【名】  销路; 销售(情况)	[sound:SPXJ07019.mp3]
浮気	うわき	flighty, fickle, wanton, unfaithful	【名】  【形動】  见异思迁; 乱搞男女关系	[sound:SPXJ07053.mp3]
上手	うわて	1. upper part, upper stream, left side (of a stage), 2. skillful (only in comparisons), dexterity (on	【名】  上方; 上座; 上游; 舞台的左侧	[sound:SPXJ35101.mp3]
上回る	うわまわる	to exceed	【自五】  超过; 超出; 卓越	[sound:SPXJ07100.mp3]
植わる	うわる	to be planted	【自五】  栽着	[sound:SPXJ07109.mp3]
運営	うんえい	management, administration, operation	【名】  【他サ】  运用; 经营	[sound:SPXJ07112.mp3]
うんざり	うんざり	tedious, boring, being fed up with	【副】  【自サ】  厌烦	[sound:SPXJ07127.mp3]
運送	うんそう	shipping, marine transportation	【名】  【他サ】  传送; 运输	[sound:SPXJ07139.mp3]
運賃	うんちん	freight rates, shipping expenses, fare	【名】  运费	[sound:SPXJ07148.mp3]
云々	うんぬん	and so on, and so forth, comment		[sound:SPXJ07173.mp3]
運搬	うんぱん	transport, carriage	【名】  【他サ】  搬运; 运输	[sound:SPXJ07178.mp3]
運命	うんめい	fate	【名】  命运; 将来	[sound:SPXJ07188.mp3]
運輸	うんゆ	transportation	【名】  运输; 输送	[sound:SPXJ07194.mp3]
運用	うんよう	making use of, application, investment, practical use	【名】  【他サ】  运用; 活用	[sound:SPXJ07196.mp3]
会	え	understanding	【名】  会议; 会	[sound:SPXJ10955.mp3]
重	え	-fold, -ply	【名】  重大; 套盒  【接尾】  重; 层	
えい	えい	ray (fish)	【造語】  制作; 经营; 兵营	[sound:SPXJ07218.mp3]
映写	えいしゃ	projection	【名】  【他サ】  放映	[sound:SPXJ07277.mp3]
英字	えいじ	English letter (character)	【名】  英国文字; 英文	[sound:SPXJ07275.mp3]
衛生	えいせい	health, hygiene, sanitation, medical	【名】  卫生	[sound:SPXJ07292.mp3]
映像	えいぞう	reflection, image	【名】  映像; 影像; 印象; 形象	[sound:SPXJ07308.mp3]
英雄	えいゆう	hero, great man	【名】  英雄	[sound:SPXJ07343.mp3]
液	えき	liquid, fluid	【名】  液; 液体	[sound:SPXJ07388.mp3]
役	えき	war, campaign, battle	【名】  职务; 官职; 任务; 担任的工作; 角色	[sound:SPXJ76270.mp3]
閲覧	えつらん	inspection, reading	【名】  【他サ】  阅览	[sound:SPXJ07584.mp3]
獲物	えもの	game, spoils, trophy	【名】  猎获物; 掠夺物; 捕获的人犯	[sound:SPXJ07694.mp3]
襟	えり	neck, collar, lapel, neckband	【名】  衣服的领子; 后颈; 西装的硬领	[sound:SPXJ07721.mp3]
縁	えん	chance, fate, destiny, relation, bonds, connection, karma	【名】  廊子; 血缘; 缘分	[sound:SPXJ66154.mp3]
塩	えん	salt	【名】  盐; 盐类	[sound:SPXJ30221.mp3]
艶	えん	charming, fascinating, voluptuous	【名】  光泽; 光亮; 润泽(同こうたく); 兴趣; 兴味(同おもしろみ); 艳事; 风流事; 妖艳; 妩媚	[sound:SPXJ07787.mp3]
園	えん	garden (esp. man-made)	【名】  园; 花园	[sound:SPXJ42732.mp3]
円滑	えんかつ	harmony, smoothness	【名】  【形動】  圆滑; 顺利; 协调	[sound:SPXJ07827.mp3]
縁側	えんがわ	veranda, porch, balcony, open corridor	【名】  走廊	[sound:SPXJ07830.mp3]
沿岸	えんがん	coast, shore	【名】  沿岸	[sound:SPXJ07835.mp3]
婉曲	えんきょく	euphemistic, circumlocution, roundabout, indirect, insinuating		[sound:SPXJ07855.mp3]
演習	えんしゅう	practice, exercises, manoeuvers	【名】  【自サ】  实地练习; 专题研究讨论; (军)演习	[sound:SPXJ07912.mp3]
演出	えんしゅつ	production (e.g. play), direction	【名】  【他サ】  演出; 导演	[sound:SPXJ07916.mp3]
演じる	えんじる	to perform (a play), to play (a part), to act (a part), to commit (a blunder)	【他上一】  扮演(同えんずる)	[sound:SPXJ07930.mp3]
演ずる	えんずる	to perform, to play	【他サ】  扮演; 作出	[sound:SPXJ07944.mp3]
沿線	えんせん	along railway line	【名】  沿线	[sound:SPXJ07965.mp3]
縁談	えんだん	marriage proposal, engagement	【名】  提亲; 说媒	[sound:SPXJ07995.mp3]
遠方	えんぽう	long way, distant place	【名】  远方; 远处	[sound:SPXJ08072.mp3]
円満	えんまん	perfection, harmony, peace, smoothness, completeness, satisfaction, integrity	【名】  【形動】  圆满; 美满	[sound:SPXJ08083.mp3]
尾	お	tail, ridge	【名】  尾巴(动物); 尾部(事物); 山脚; 山麓	[sound:SPXJ08109.mp3]
於	お	at, in, on		
甥	おい	nephew	【名】  侄; 外甥	[sound:SPXJ08120.mp3]
追い込む	おいこむ	to herd, to corner, to drive	【他五】  赶进; 逼入; 接近终点最后加劲; 挤排; 移前	[sound:SPXJ08149.mp3]
美味しい	おいしい	delicious, tasty	【形】  味美的; 好吃的	[sound:SPXJ08155.mp3]
追い出す	おいだす	to expel, to drive out	【他五】  赶出; 清除; 解雇; 用药发散	[sound:SPXJ08169.mp3]
於いて	おいて	at, in, on	【連語】  在; 于; 在...里面	[sound:SPXJ08176.mp3]
お出でになる	おいでになる	to be		
老いる	おいる	to age, to grow old	【自上一】  年老; 衰老; 垂暮	[sound:SPXJ08209.mp3]
負う	おう	to bear, to owe	【他五】  背; 负; 遭受; 借助; 借重; 担任	[sound:SPXJ10022.mp3]
応急	おうきゅう	emergency	【名】  应急	[sound:SPXJ08355.mp3]
黄金	おうごん	gold	【名】  黄金; 金币	[sound:SPXJ25392.mp3]
黄色	おうしょく	yellow	【名】  【形動】  黄色	[sound:SPXJ16485.mp3]
応募	おうぼ	subscription, application	【名】  【自サ】  应募; 应招投考; 投稿应征; 认购; 认捐	[sound:SPXJ08665.mp3]
おおい	おおい	hey!	【形】  多的	
大方	おおかた	perhaps, almost all, majority	【名】  多半; 大体; 诸位; 大家  【副】  大约; 差不多	[sound:SPXJ08318.mp3]
大柄	おおがら	large build, large pattern	【名】  【形動】  身材大; 骨架大; 大花纹	[sound:SPXJ08329.mp3]
大げさ	おおげさ	grandiose, exaggerated		[sound:SPXJ08372.mp3]
大事	おおごと	important, valuable, serious matter	【名】  重大事件	[sound:SPXJ08386.mp3]
大ざっぱ	おおざっぱ	rough (as in not precise), broad, sketchy		[sound:SPXJ08402.mp3]
大筋	おおすじ	outline, summary	【名】  概略; 主要内容	[sound:SPXJ08456.mp3]
大空	おおぞら	heaven, firmament, the sky	【名】  (佛)大空; 太空; 天空; 空间(同おおぞら)	[sound:SPXJ08487.mp3]
大幅	おおはば	full width, large scale, drastic	【名】  宽幅(布)  【形動】  广泛	[sound:SPXJ08625.mp3]
大水	おおみず	flood	【名】  洪水; 大水	[sound:SPXJ08688.mp3]
公	おおやけ	official, public, formal, open, governmental	【名】  公家; 国家  【代】  公(对元老级文官的敬称)	[sound:SPXJ23928.mp3]
お蔭	おかげ	(your) backing, assistance		
お蔭様で	おかげさまで	Thanks to god, thanks to you		
可笑しい	おかしい	strange, funny, amusing, ridiculous	【形】  可笑的; 滑稽的; 奇怪的; 可疑的	[sound:SPXJ08790.mp3]
犯す	おかす	to commit, to perpetrate, to violate, to rape	【他五】  违犯; 冒犯; 奸污; 污辱	[sound:SPXJ08804.mp3]
侵す	おかす	to invade, to raid, to trespass, to violate, to intrude on	【他五】  侵犯; 侵害; 侵占	[sound:SPXJ08806.mp3]
お菜	おかず	side dish, accompaniment for rice dishes		[sound:SPXJ09110.mp3]
臆病	おくびょう	cowardice, timidity	【名】  【形動】  胆小; 怯懦	[sound:SPXJ08988.mp3]
遅らす	おくらす	to retard, to delay	【他五】  使慢; 推迟; 拖延; 使后退	[sound:SPXJ09018.mp3]
遅れ	おくれ	delay, lag	【名】  落后; 畏缩	[sound:SPXJ09049.mp3]
起こす	おこす	to raise, to cause, to wake someone	【他五】  唤起; 扶起; 引起; 发起; 发生; 翻动	[sound:SPXJ09072.mp3]
行い	おこない	deed, conduct, behavior, action, asceticism	【名】  行为; 动作; 品行; 修行	[sound:SPXJ09086.mp3]
厳か	おごそか	austere, majestic, dignified, stately, awful, impressive	【形動】  严肃; 郑重	[sound:SPXJ09076.mp3]
傲る	おごる	to be proud		[sound:SPXJ09107.mp3]
長	おさ	chief, head	【名】  首长; 出类拔萃的东西	[sound:SPXJ09109.mp3]
押さえる	おさえる	to stop, to restrain, to seize, to repress, to suppress, to press down	【他下一】  按住; 扣住; 阻止; 抓住; 超群出众; 压倒; 抑制; 捕获; 掩; 捂	[sound:SPXJ09121.mp3]
お先に	おさきに	before, ahead, previously		
収まる	おさまる	to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered	【自五】  容纳; 缴纳; 平息; 心满意足	[sound:SPXJ09151.mp3]
納まる	おさまる	to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered	【自五】  容纳; 缴纳; 平息; 心满意足	[sound:SPXJ09152.mp3]
治まる	おさまる	to be at peace, to clamp down, to lessen (storm terror anger)	【自五】  安定; 平息	[sound:SPXJ09153.mp3]
お産	おさん	(giving) birth		[sound:SPXJ09169.mp3]
教え	おしえ	teachings, precept, lesson, doctrine	【名】  教导; 教训; 教义	[sound:SPXJ09200.mp3]
押し込む	おしこむ	to push into, to crowd into	【自五】  硬挤进入; 闯进抢劫  【他五】  塞进; 勉强灌输	[sound:SPXJ09239.mp3]
惜しむ	おしむ	to be frugal, to value, to regret	【他五】  吝惜; 舍不得; 惋惜	[sound:SPXJ09300.mp3]
お喋り	おしゃべり	chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth	【名】  【形動】  【自サ】  健谈; 多嘴多舌; 爱饶舌的人; 聊天	[sound:SPXJ09327.mp3]
お洒落	おしゃれ	smartly dressed, someone smartly dressed, fashion-conscious		[sound:SPXJ09330.mp3]
押し寄せる	おしよせる	to push aside, to advance on	【自下一】  涌过来  【他下一】  推倒一旁	[sound:SPXJ09341.mp3]
お祖父さん	おじいさん	grandfather, male senior-citizen		[sound:SPXJ09190.mp3]
お邪魔します	おじゃまします	Excuse me for disturbing (interrupting) you		
雄	おす	male (animal)	【名】  雄; 强有力者	[sound:SPXJ77205.mp3]
お世辞	おせじ	flattery, compliment	【名】  恭维; 奉承	[sound:SPXJ09377.mp3]
襲う	おそう	to attack	【他五】  袭击; 沿袭	[sound:SPXJ09389.mp3]
遅くとも	おそくとも	at the latest		[sound:SPXJ09397.mp3]
恐らく	おそらく	perhaps	【副】  恐怕; 或许	[sound:SPXJ09419.mp3]
恐れ	おそれ	fear, horror	【名】  畏惧; 害怕; 担心; 忧虑	[sound:SPXJ09422.mp3]
恐れ入る	おそれいる	to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b	【自五】  十分抱歉; 佩服; 认罪; 吃惊; 为难; 吃不消	[sound:SPXJ09424.mp3]
お大事に	おだいじに	Take care of yourself		[sound:SPXJ09448.mp3]
煽てる	おだてる	to stir up, to instigate, to flatter	【他下一】  煽惑; 煽动	[sound:SPXJ09470.mp3]
落ち込む	おちこむ	to fall into, to feel down (sad)	【自五】  掉进; 跌落; 塌陷; 落到手中	[sound:SPXJ09524.mp3]
落ち着き	おちつき	calm, composure	【名】  沉着; 稳当; 匀称	[sound:SPXJ09526.mp3]
落ち葉	おちば	fallen leaves, leaf litter, defoliation, shedding leaves		[sound:SPXJ09535.mp3]
